epoch,loss,lr
1,3.592223827328001,0.001
2,3.082080142838614,0.0009997535269026829
3,2.849247166088649,0.0009990143508499217
4,2.5746841643537794,0.0009977832013192385
5,2.3529844667230333,0.0009960612933065818
6,2.185199213879449,0.0009938503261272714
7,2.0120501794985364,0.00099115248173898
8,2.027269354888371,0.0009879704225884043
9,1.8175583119903291,0.0009843072889837512
10,1.8382037452289037,0.000980166695995633
11,1.7554831228085928,0.0009755527298894294
12,1.7086582141263145,0.0009704699440926358
13,1.6333589340959276,0.0009649233547011817
14,1.5639045621667589,0.0009589184355291487
15,1.5291053695338113,0.000952461112706777
16,1.5434402461562837,0.00094555775883209
17,1.4671351377453123,0.0009382151866819101
18,1.3880701937845774,0.0009304406424884702
19,1.4152339760746275,0.000922241798788257
20,1.3771022856235504,0.0009136267468501441
21,1.3651136798518044,0.0009046039886902867
22,1.343954541853496,0.0008951824286816577
23,1.2933881474392754,0.0008853713647665071
24,1.2922446898051672,0.0008751804792804149
25,1.235671527683735,0.0008646198293969954
26,1.2797660785061973,0.0008536998372026807
27,1.2130520471504755,0.0008424312794113804
28,1.2473341535244669,0.0008308252767291644
29,1.2416879375066077,0.0008188932828794708
30,1.2053915836981364,0.0008066470732996621
31,1.1745275865708078,0.0007940987335200907
32,1.17131557315588,0.0007812606472371396
33,1.152929152761187,0.0007681454840920091
34,1.1047376192041807,0.0007547661871673109
35,1.1093530708125658,0.0007411359602138072
36,1.1108894614236695,0.000727268254619904
37,1.0875292324594088,0.0007131767561367542
38,1.0933461668235915,0.0006988753713720732
39,1.094575289104666,0.000684378214065997
40,1.0476788974234037,0.0006696995911625234
41,1.0703828813774245,0.0006548539886902865
42,1.0627826218094145,0.0006398560574665953
43,1.045157433620521,0.0006247205986388451
44,1.025634524013315,0.0006094625490775733
45,1.045542628637382,0.0005940969666355698
46,0.9919097615139825,0.0005786390152875956
47,1.0050039855497224,0.0005631039501653703
48,0.9521177762321064,0.0005475071025025981
49,0.9709445355193955,0.0005318638645048923
50,0.9894353534494128,0.0005161896741595253
51,0.9506169036030769,0.0005005000000000002
52,0.9456021253551755,0.0004848103258404751
53,0.9233454189130238,0.0004691361354951082
54,0.9296100927250726,0.00045349289749740224
55,0.9006912601845605,0.0004378960498346302
56,0.9056610933371952,0.0004223609847124048
57,0.9100493182029042,0.0004069030333644307
58,0.8852031018052783,0.0003915374509224273
59,0.8867885406528201,0.0003762794013611551
60,0.8756981140800885,0.00036114394253340513
61,0.876364070389952,0.000346146011309714
62,0.8913692917142596,0.00033130040883747703
63,0.8642977124878338,0.0003166217859340036
64,0.8588540000574929,0.0003021246286279271
65,0.8481774809105056,0.00028782324386324626
66,0.8419802486896515,0.00027373174538009644
67,0.8226559268576759,0.00025986403978619317
68,0.7953535073569843,0.00024623381283268956
69,0.8050744288734027,0.00023285451590799108
70,0.8022024290902274,0.00021973935276286074
71,0.8267302300248828,0.00020690126647990976
72,0.7935670454587255,0.00019435292670033822
73,0.7953688949346542,0.0001821067171205295
74,0.7851265881742749,0.000170174723270836
75,0.7948532711182322,0.00015856872058862001
76,0.77859835007361,0.00014730016279731957
77,0.7589411054338727,0.00013638017060300508
78,0.7570991250021117,0.00012581952071958545
79,0.7888168979968343,0.00011562863523349334
80,0.7554710092289108,0.00010581757131834266
81,0.7565153006996427,9.639601130971382e-05
82,0.7508917802146503,8.737325314985643e-05
83,0.7357203013130597,7.875820121174359e-05
84,0.7519248511110034,7.05593575115301e-05
85,0.7494688076632363,6.278481331809015e-05
86,0.7474555021950177,5.54422411679103e-05
87,0.7130838579365185,4.853888729322334e-05
88,0.7291648685932159,4.2081564470851536e-05
89,0.7311721348336765,3.6076645298818454e-05
90,0.7357634295310292,3.053005590736439e-05
91,0.7032622365014893,2.5447270110570814e-05
92,0.7012770463313375,2.0833304004366997e-05
93,0.7169139949338776,1.6692711016248837e-05
94,0.7196883325065885,1.3029577411595715e-05
95,0.7175050835524287,9.847518261019987e-06
96,0.7130777069500515,7.14967387272874e-06
97,0.6925017067364284,4.9387066934183575e-06
98,0.7055734002164432,3.2167986807615425e-06
99,0.71709934089865,1.9856491500783564e-06
100,0.7014034762978554,1.2464730973170658e-06
